filename,bicycle,car,dog,person
0000.jpeg,0,1,0,0
0001.jpeg,0,1,0,0
0002.jpeg,0,1,0,0
0003.jpeg,0,1,0,0
0004.jpeg,0,1,0,0
0005.jpeg,0,1,0,0
0006.jpeg,0,1,0,0
0007.jpeg,0,1,0,0
0008.jpeg,0,1,0,0
0009.jpeg,0,1,0,0
0010.jpeg,0,1,0,0
0011.jpeg,0,1,0,0
0012.jpeg,0,1,0,0
0013.jpeg,0,1,0,0
0014.jpeg,0,1,0,0
0015.jpeg,0,1,0,0
0016.jpeg,0,1,0,0
0017.jpeg,0,1,0,0
0018.jpeg,0,1,0,0
0019.jpeg,0,1,0,0
0020.jpeg,0,1,0,0
0021.jpeg,0,1,0,0
0022.jpeg,0,1,0,0
0023.jpeg,0,1,0,0
0024.jpeg,0,1,0,0
0025.jpeg,0,1,0,0
0026.jpeg,0,1,0,0
0027.jpeg,0,1,0,0
0028.jpeg,0,1,0,0
0029.jpeg,0,1,0,0
0030.jpeg,0,1,0,0
0031.jpeg,0,1,0,0
0032.jpeg,0,1,0,0
0033.jpeg,0,1,0,0
0034.jpeg,0,1,0,0
0035.jpeg,0,1,0,0
0036.jpeg,0,1,0,0
0037.jpeg,0,1,0,0
0038.jpeg,0,1,0,0
0039.jpeg,0,1,0,0
0040.jpeg,0,1,0,0
0041.jpeg,0,1,0,0
0042.jpeg,0,1,0,0
0043.jpeg,0,1,0,0
0044.jpeg,0,1,0,0
0045.jpeg,0,1,0,0
0046.jpeg,0,1,0,0
0047.jpeg,0,1,0,0
0048.jpeg,0,1,0,0
0049.jpeg,0,1,0,0
0050.jpeg,0,1,0,0
0051.jpeg,0,1,0,0
0052.jpeg,0,1,0,0
0053.jpeg,0,1,0,0
0054.jpeg,0,1,0,0
0055.jpeg,0,1,0,0
0056.jpeg,0,1,0,0
0057.jpeg,0,1,0,0
0058.jpeg,0,1,0,0
0059.jpeg,0,1,0,0
0060.jpeg,0,1,0,0
0061.jpeg,0,1,0,0
0062.jpeg,0,1,0,0
0063.jpeg,0,1,0,0
0064.jpeg,0,1,0,0
0065.jpeg,0,1,0,0
0066.jpeg,0,1,0,0
0067.jpeg,0,1,0,0
0068.jpeg,0,1,0,0
0069.jpeg,0,1,0,0
0070.jpeg,0,1,0,0
0071.jpeg,0,1,0,0
0072.jpeg,0,1,0,0
0073.jpeg,0,1,0,0
0074.jpeg,0,1,0,0
0075.jpeg,0,1,0,0
0076.jpeg,0,1,0,0
0077.jpeg,0,1,0,0
0078.jpeg,0,1,0,0
0079.jpeg,0,1,0,0
0080.jpeg,0,1,0,0
0081.jpeg,0,1,0,0
0082.jpeg,0,1,0,0
0083.jpeg,0,1,0,0
0084.jpeg,0,1,0,0
0085.jpeg,0,1,0,0
0086.jpeg,0,1,0,0
0087.jpeg,0,1,0,0
0088.jpeg,0,1,0,0
0089.jpeg,0,1,0,0
0090.jpeg,0,1,0,0
0091.jpeg,0,1,0,0
